温度，oC,频率，Hz,磁芯损耗，w/m3,max_value,励磁波形
25,50030,1997.95525,0.028848625,正弦波
25,50020,2427.74983,0.031419176,正弦波
25,50020,3332.72576,0.035534728,正弦波
25,50020,4502.908007,0.040015423,正弦波
25,50030,6063.023248,0.04502763,正弦波
25,50020,14273.85421,0.063309253,正弦波
25,50020,56401.52952,0.111447239,正弦波
25,50020,73651.31728,0.124866864,正弦波
25,50020,125047.8122,0.1566562,正弦波
25,50020,161776.6059,0.174814636,正弦波
25,50020,352985.6272,0.244365162,正弦波
25,50030,441717.9624,0.268992445,正弦波
25,56320,1759.006565,0.024828539,正弦波
25,56310,2364.873224,0.027812696,正弦波
25,56320,3132.233226,0.031156813,正弦波
25,56320,4363.429973,0.035420698,正弦波
25,56320,5773.018252,0.0397187,正弦波
25,56320,9988.187279,0.04929146,正弦波
25,56310,13463.78092,0.055898567,正弦波
25,56310,23248.3141,0.070737564,正弦波
25,56320,39002.19859,0.087617849,正弦波
25,56320,50069.23431,0.097540819,正弦波
25,56320,66762.87637,0.110358798,正弦波
25,56310,113796.1134,0.137948422,正弦波
25,56310,148257.1129,0.154213975,正弦波
25,56320,198685.0545,0.17350443,正弦波
25,56320,255933.2678,0.192730315,正弦波
25,56320,331623.2171,0.214929047,正弦波
25,56320,416358.3168,0.236343413,正弦波
25,56310,534557.2986,0.263947758,正弦波
25,63010,1507.127686,0.022059316,正弦波
25,63020,1987.49952,0.024725928,正弦波
25,63020,2690.828365,0.027911211,正弦波
25,63020,4918.264521,0.035428021,正弦波
25,63020,6538.643558,0.039388525,正弦波
25,63020,11504.91656,0.049814376,正弦波
25,63020,14827.08294,0.055885843,正弦波
25,63020,19682.18168,0.062965686,正弦波
25,63020,26015.31362,0.07076822,正弦波
25,63020,33431.1089,0.078459062,正弦波
25,63020,43311.21706,0.087840747,正弦波
25,63020,56888.04649,0.098822527,正弦波
25,63020,73132.61212,0.110218222,正弦波
25,63020,96561.45489,0.124335952,正弦波
25,63020,124836.8907,0.13898708,正弦波
25,63020,164156.6808,0.156473638,正弦波
25,63020,213181.9924,0.175147308,正弦波
25,63020,272698.8683,0.194790244,正弦波
25,63020,345321.4402,0.215860491,正弦波
25,63030,450682.3276,0.242998028,正弦波
25,63030,568872.0099,0.268987649,正弦波
25,70840,2225.097322,0.024687579,正弦波
25,70840,3024.184603,0.027983078,正弦波
25,70840,4089.657062,0.031475888,正弦波
25,70840,5561.224672,0.035052595,正弦波
25,70840,7428.611375,0.039364992,正弦波
25,70840,9781.334899,0.044128618,正弦波
25,70830,13030.14014,0.049743977,正弦波
25,70840,17428.60715,0.056075099,正弦波
25,70840,38034.45168,0.078502965,正弦波
25,70840,64866.78904,0.098838885,正弦波
25,70840,84929.72944,0.111064775,正弦波
25,70840,109923.077,0.124094997,正弦波
25,70840,144795.5963,0.139763871,正弦波
25,70840,398991.6659,0.216688124,正弦波
25,70840,677349.1971,0.273112449,正弦波
25,79470,1351.668508,0.019528307,正弦波
25,79460,2547.825849,0.024900745,正弦波
25,79460,3427.227242,0.028096496,正弦波
25,79470,4655.897506,0.031205008,正弦波
25,79460,6205.058112,0.034994642,正弦波
25,79460,8367.055189,0.039476588,正弦波
25,79470,11089.48772,0.044323776,正弦波
25,79470,14658.56285,0.049693959,正弦波
25,79470,19233.50271,0.056103456,正弦波
25,79460,32688.69228,0.069754037,正弦波
25,79460,55945.83678,0.087732676,正弦波
25,79460,74362.24612,0.099049001,正弦波
25,79460,128576.4162,0.125062307,正弦波
25,79460,166639.6736,0.139881879,正弦波
25,79470,218449.8965,0.156669065,正弦波
25,79460,273541.545,0.172642027,正弦波
25,79460,360199.2721,0.194522206,正弦波
25,79460,461810.5667,0.216796032,正弦波
25,79460,613904.3362,0.24532644,正弦波
25,89080,1129.391913,0.017465274,正弦波
25,89080,1532.851361,0.019691659,正弦波
25,89080,2119.668152,0.022148216,正弦波
25,89090,5166.874084,0.031061485,正弦波
25,89080,7061.093869,0.035040861,正弦波
25,89080,9430.12443,0.039326997,正弦波
25,89080,12766.46246,0.044447876,正弦波
25,89090,21893.48022,0.055365141,正弦波
25,89080,28291.14184,0.062112426,正弦波
25,89090,49708.07326,0.078637194,正弦波
25,89080,65196.27638,0.088198356,正弦波
25,89080,85243.35886,0.098803918,正弦波
25,89090,112150.6467,0.110936068,正弦波
25,89080,147631.7533,0.124656679,正弦波
25,89090,193355.8322,0.139410931,正弦波
25,89080,245886.8962,0.154546103,正弦波
25,89090,321281.5746,0.173458631,正弦波
25,89090,415631.7819,0.193693439,正弦波
